trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
OPT-0001,MACRO,CPTY-02,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,1e+07,,2028-01-15,2038-01-15,USD,,,,0.0353,PAYER_SWAPTION,EUROPEAN,0.4323,,,,,,,,1.24412e+06,,,0.0419051,,,1.24412e+06,4121.48,4.12148,412.148,,21556.6,-241.091,2.97987e+07,,,,,
OPT-0002,OPT-NY,CPTY-06,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2032-01-15,USD,,,,0.0449,RECEIVER_SWAPTION,EUROPEAN,0.4335,,,,,,,,286097,,,0.042515,,,286097,-973.946,-1.94789,-194.789,,5819.27,-161.733,-1.3076e+07,,,,,
OPT-0003,OPT-ASIA,CPTY-06,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,2e+07,,2027-01-15,2037-01-15,USD,,,,0.0382,PAYER_SWAPTION,EUROPEAN,0.3851,,,,,,,,1.87859e+06,,,0.0420932,,,1.87859e+06,8620.51,4.31026,431.026,,39501.4,-717.037,6.58425e+07,,,,,
OPT-0004,MACRO,CPTY-05,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2032-01-15,USD,,,,0.0458,PAYER_SWAPTION,EUROPEAN,0.4095,,,,,,,,-217489,,,0.042515,,,-217489,-1084.41,-2.16881,-216.881,,-5880.43,109.976,-7.01676e+06,,,,,
OPT-0005,OPT-LDN,CPTY-01,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+07,,2026-01-15,2031-01-15,USD,,,,0.0475,PAYER_SWAPTION,EUROPEAN,0.3572,,,,,,,,1.30202e+06,,,0.0438061,,,1.30202e+06,10283.9,2.05678,205.678,,45252.1,-1658.48,7.56102e+07,,,,,
OPT-0006,OPT-NY,CPTY-08,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,1e+07,,2026-01-15,2036-01-15,USD,,,,0.0358,PAYER_SWAPTION,EUROPEAN,0.3503,,,,,,,,-829952,,,0.0427373,,,-829952,-5147.39,-5.14739,-514.739,,-13631.6,443.02,-4.51798e+07,,,,,
OPT-0007,OPT-LDN,CPTY-04,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+06,,2026-01-15,2036-01-15,USD,,,,0.0527,RECEIVER_SWAPTION,EUROPEAN,0.3218,,,,,,,,-511609,,,0.0427373,,,-511609,2832.7,5.6654,566.54,,-7518.02,322.941,2.89195e+07,,,,,
OPT-0008,OPT-NY,CPTY-01,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,1e+07,,2030-01-15,2035-01-15,USD,,,,0.0447,RECEIVER_SWAPTION,EUROPEAN,0.3917,,,,,,,,700980,,,0.0414815,,,700980,-1834.73,-1.83473,-183.473,,15289.3,-71.437,-2.47714e+07,,,,,
OPT-0009,OPT-ASIA,CPTY-09,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+07,,2026-01-15,2031-01-15,USD,,,,0.0398,PAYER_SWAPTION,EUROPEAN,0.4001,,,,,,,,2.18569e+06,,,0.0438061,,,2.18569e+06,13324.1,2.66482,266.482,,41880.2,-1508.84,1.05057e+08,,,,,
OPT-0010,OPT-ASIA,CPTY-09,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,5e+06,,2030-01-15,2040-01-15,USD,,,,0.0484,PAYER_SWAPTION,EUROPEAN,0.3962,,,,,,,,507182,,,0.0417011,,,507182,1547.84,3.09567,309.567,,14226.9,-104.713,9.10347e+06,,,,,
OPT-0011,OPT-ASIA,CPTY-08,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2032-01-15,USD,,,,0.0465,PAYER_SWAPTION,EUROPEAN,0.4467,,,,,,,,-234547,,,0.042515,,,-234547,-1088.71,-2.17742,-217.742,,-5862.7,122.179,-6.7393e+06,,,,,
OPT-0012,OPT-LDN,CPTY-05,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,5e+06,,2030-01-15,2040-01-15,USD,,,,0.0385,RECEIVER_SWAPTION,EUROPEAN,0.3995,,,,,,,,-509231,,,0.0417011,,,-509231,1501.75,3.00351,300.351,,-13030.9,81.8571,2.09161e+07,,,,,
OPT-0013,OPT-ASIA,CPTY-07,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,5e+06,,2030-01-15,2035-01-15,USD,,,,0.0482,PAYER_SWAPTION,EUROPEAN,0.3909,,,,,,,,274045,,,0.0414815,,,274045,915.364,1.83073,183.073,,7831.47,-65.4656,5.03797e+06,,,,,
OPT-0014,OPT-NY,CPTY-04,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,1e+07,,2026-01-15,2036-01-15,USD,,,,0.0505,PAYER_SWAPTION,EUROPEAN,0.3384,,,,,,,,-331428,,,0.0427373,,,-331428,-2999.15,-2.99915,-299.915,,-15665.2,622.227,-2.16639e+07,,,,,
OPT-0015,OPT-LDN,CPTY-03,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,2e+07,,2030-01-15,2040-01-15,USD,,,,0.0369,PAYER_SWAPTION,EUROPEAN,0.4015,,,,,,,,-2.53661e+06,,,0.0417011,,,-2.53661e+06,-6895.28,-3.44764,-344.764,,-51038.4,309.42,-4.75681e+07,,,,,
OPT-0016,OPT-NY,CPTY-04,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,2e+07,,2030-01-15,2040-01-15,USD,,,,0.0385,RECEIVER_SWAPTION,EUROPEAN,0.4625,,,,,,,,-2.36083e+06,,,0.0417011,,,-2.36083e+06,6053.43,3.02671,302.671,,-50394.9,360.295,8.7475e+07,,,,,
OPT-0017,MACRO,CPTY-08,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,1e+07,,2028-01-15,2033-01-15,USD,,,,0.0542,PAYER_SWAPTION,EUROPEAN,0.4556,,,,,,,,481288,,,0.0421759,,,481288,1917.12,1.91712,191.712,,13835.2,-195.22,9.91122e+06,,,,,
OPT-0018,OPT-NY,CPTY-08,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2037-01-15,USD,,,,0.039,RECEIVER_SWAPTION,EUROPEAN,0.418,,,,,,,,376134,,,0.0420932,,,376134,-1550.15,-3.1003,-310.03,,9936.96,-256.69,-2.1089e+07,,,,,
OPT-0019,OPT-ASIA,CPTY-06,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+07,,2026-01-15,2031-01-15,USD,,,,0.0546,PAYER_SWAPTION,EUROPEAN,0.3705,,,,,,,,-912180,,,0.0438061,,,-912180,-7873.03,-1.57461,-157.461,,-43271.4,1776.23,-5.25609e+07,,,,,
OPT-0020,MACRO,CPTY-03,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+07,,2026-01-15,2031-01-15,USD,,,,0.0477,PAYER_SWAPTION,EUROPEAN,0.4221,,,,,,,,1.58062e+06,,,0.0438061,,,1.58062e+06,10633.3,2.12665,212.665,,45195.8,-2008.58,7.46296e+07,,,,,
OPT-0021,MACRO,CPTY-08,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2032-01-15,USD,,,,0.0364,PAYER_SWAPTION,EUROPEAN,0.4012,,,,,,,,-290146,,,0.042515,,,-290146,-1295.9,-2.59181,-259.181,,-5276.32,75.3274,-9.59128e+06,,,,,
OPT-0022,OPT-NY,CPTY-07,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,5e+07,,2028-01-15,2038-01-15,USD,,,,0.0417,PAYER_SWAPTION,EUROPEAN,0.3986,,,,,,,,4.94954e+06,,,0.0419051,,,4.94954e+06,18968.9,3.79378,379.378,,118268,-1397.89,1.2913e+08,,,,,
OPT-0023,MACRO,CPTY-01,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+06,,2027-01-15,2037-01-15,USD,,,,0.0396,PAYER_SWAPTION,EUROPEAN,0.3943,,,,,,,,-456447,,,0.0420932,,,-456447,-2097.51,-4.19503,-419.503,,-10061.2,192.825,-1.55761e+07,,,,,
OPT-0024,MACRO,CPTY-09,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,2e+07,,2028-01-15,2033-01-15,USD,,,,0.0419,RECEIVER_SWAPTION,EUROPEAN,0.4639,,,,,,,,1.24806e+06,,,0.0421759,,,1.24806e+06,-3409.89,-1.70495,-170.495,,25659.2,-450.823,-5.06188e+07,,,,,
OPT-0025,OPT-NY,CPTY-01,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,2e+07,,2030-01-15,2040-01-15,USD,,,,0.0349,RECEIVER_SWAPTION,EUROPEAN,0.4396,,,,,,,,1.94078e+06,,,0.0417011,,,1.94078e+06,-5391.3,-2.69565,-269.565,,48725.3,-356.566,-8.23546e+07,,,,,
OPT-0026,OPT-ASIA,CPTY-10,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,5e+06,,2028-01-15,2033-01-15,USD,,,,0.0455,RECEIVER_SWAPTION,EUROPEAN,0.4132,,,,,,,,-324808,,,0.0421759,,,-324808,961.528,1.92306,192.306,,-6722.03,103.939,1.30011e+07,,,,,
OPT-0027,MACRO,CPTY-06,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,5e+07,,2030-01-15,2040-01-15,USD,,,,0.0407,RECEIVER_SWAPTION,EUROPEAN,0.4594,,,,,,,,-6.34878e+06,,,0.0417011,,,-6.34878e+06,16098,3.2196,321.96,,-129264,879.066,2.23228e+08,,,,,
OPT-0028,OPT-LDN,CPTY-10,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,2e+07,,2028-01-15,2033-01-15,USD,,,,0.0438,RECEIVER_SWAPTION,EUROPEAN,0.4211,,,,,,,,-1.23278e+06,,,0.0421759,,,-1.23278e+06,3654.01,1.827,182.7,,-26480.3,422.479,5.09466e+07,,,,,
OPT-0029,OPT-ASIA,CPTY-08,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,2e+07,,2026-01-15,2036-01-15,USD,,,,0.0502,RECEIVER_SWAPTION,EUROPEAN,0.3698,,,,,,,,-1.9156e+06,,,0.0427373,,,-1.9156e+06,10029.5,5.01474,501.474,,-31718.4,1566.65,1.07846e+08,,,,,
OPT-0030,OPT-ASIA,CPTY-10,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,1e+07,,2026-01-15,2036-01-15,USD,,,,0.0389,PAYER_SWAPTION,EUROPEAN,0.3593,,,,,,,,712394,,,0.0427373,,,712394,4695.32,4.69532,469.532,,14903.9,-547.844,3.92311e+07,,,,,
OPT-0031,OPT-NY,CPTY-03,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,2e+07,,2027-01-15,2032-01-15,USD,,,,0.037,RECEIVER_SWAPTION,EUROPEAN,0.3973,,,,,,,,683723,,,0.042515,,,683723,-2926.66,-1.46333,-146.333,,21347.7,-569.8,-4.30419e+07,,,,,
OPT-0032,MACRO,CPTY-03,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+07,,2027-01-15,2032-01-15,USD,,,,0.0368,PAYER_SWAPTION,EUROPEAN,0.4407,,,,,,,,-3.073e+06,,,0.042515,,,-3.073e+06,-12838.7,-2.56774,-256.774,,-52889.8,881.807,-9.09821e+07,,,,,
OPT-0033,MACRO,CPTY-09,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,5e+07,,2030-01-15,2040-01-15,USD,,,,0.0434,PAYER_SWAPTION,EUROPEAN,0.421,,,,,,,,5.89315e+06,,,0.0417011,,,5.89315e+06,16272.8,3.25456,325.456,,135475,-978.976,9.94499e+07,,,,,
OPT-0034,OPT-ASIA,CPTY-03,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,1e+07,,2027-01-15,2032-01-15,USD,,,,0.0361,RECEIVER_SWAPTION,EUROPEAN,0.4448,,,,,,,,-372482,,,0.042515,,,-372482,1415.04,1.41504,141.504,,-10444.2,307.584,2.19079e+07,,,,,
OPT-0035,MACRO,CPTY-06,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,5e+07,,2027-01-15,2037-01-15,USD,,,,0.0426,RECEIVER_SWAPTION,EUROPEAN,0.3414,,,,,,,,3.75304e+06,,,0.0420932,,,3.75304e+06,-18019.2,-3.60383,-360.383,,105011,-2206.33,-2.20752e+08,,,,,
OPT-0036,OPT-ASIA,CPTY-10,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,2e+07,,2030-01-15,2035-01-15,USD,,,,0.0397,PAYER_SWAPTION,EUROPEAN,0.4539,,,,,,,,1.46737e+06,,,0.0414815,,,1.46737e+06,4028.91,2.01445,201.445,,28242.7,-243.212,2.27473e+07,,,,,
OPT-0037,OPT-NY,CPTY-01,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,3,1,OPTION,2e+07,,2028-01-15,2038-01-15,USD,,,,0.0336,RECEIVER_SWAPTION,EUROPEAN,0.4402,,,,,,,,1.4581e+06,,,0.0419051,,,1.4581e+06,-5037,-2.5185,-251.85,,41790.5,-709.917,-7.86776e+07,,,,,
OPT-0038,OPT-ASIA,CPTY-03,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+06,,2026-01-15,2036-01-15,USD,,,,0.0427,PAYER_SWAPTION,EUROPEAN,0.3328,,,,,,,,-266938,,,0.0427373,,,-266938,-2068.68,-4.13735,-413.735,,-7922.65,285.609,-1.66556e+07,,,,,
OPT-0039,MACRO,CPTY-02,2025-01-15,SELL,2026-04-06T19:24:29.666609+00:00,SWAPTION,,2,1,OPTION,2e+07,,2027-01-15,2032-01-15,USD,,,,0.043,RECEIVER_SWAPTION,EUROPEAN,0.3681,,,,,,,,-895446,,,0.042515,,,-895446,3751.44,1.87572,187.572,,-23232.2,569.154,4.92068e+07,,,,,
OPT-0040,MACRO,CPTY-05,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,1,1,OPTION,5e+06,,2026-01-15,2031-01-15,USD,,,,0.0543,PAYER_SWAPTION,EUROPEAN,0.4273,,,,,,,,117720,,,0.0438061,,,117720,864.81,1.72962,172.962,,4439.09,-211.696,5.58108e+06,,,,,
OPT-0041,OPT-LDN,CPTY-10,2025-01-15,BUY,2026-04-06T19:24:29.666609+00:00,SWAPTION,,5,1,OPTION,2e+07,,2030-01-15,2035-01-15,USD,,,,0.0531,RECEIVER_SWAPTION,EUROPEAN,0.451,,,,,,,,2.02366e+06,,,0.0414815,,,2.02366e+06,-4328.48,-2.16424,-216.424,,31266.1,-129.265,-5.42598e+07,,,,,
