trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
OBOND-CALL-0001,OBOND-CALL,CPTY-02,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",1e+07,0.0474,2025-01-15,2030-01-15,USD,,,,1,CALL,BERMUDAN,0.0139,,,,,,,,9.97103e+06,1.00721e+07,,0.0480566,9.97129e+06,2633.33,,-3990.48,-3.99048,-399.048,17.1059,-51900.3,,101050,,,,,
OBOND-CALL-0002,OBOND-CALL,CPTY-01,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+07,0.0404,2025-01-15,2055-01-15,USD,,,,1,CALL,BERMUDAN,0.0108,,,,,,,,4.47488e+07,4.82303e+07,,0.0469639,4.47506e+07,11222.2,,-46316.6,-9.26332,-926.332,169.753,-3.043e+06,,3.48152e+06,,,,,
OBOND-CALL-0003,OBOND-CALL,CPTY-04,2025-01-15,SHORT,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+06,0.0454,2025-01-15,2045-01-15,USD,,,,1,CALL,BERMUDAN,0.0084,,,,,,,,4.80082e+06,5.16416e+06,,0.0485443,4.80095e+06,1261.11,,2946.99,5.89398,589.398,63.2747,-278594,,363340,,,,,
OBOND-CALL-0004,OBOND-CALL,CPTY-06,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+07,0.0423,2025-01-15,2032-01-15,USD,,,,1,CALL,AMERICAN,0.0081,,,,,,,,4.88135e+07,4.92643e+07,,0.0463044,4.88159e+07,11750,,-25982.8,-5.19655,-519.655,-217.3,-533878,,450833,,,,,
OBOND-CALL-0005,OBOND-CALL,CPTY-05,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",1e+07,0.0474,2025-01-15,2032-01-15,USD,,,,1,CALL,AMERICAN,0.0095,,,,,,,,9.87621e+06,1.01548e+07,,0.0495139,9.87645e+06,2633.33,,-3990.92,-3.99092,-399.092,19.3689,-187299,,278621,,,,,
OBOND-CALL-0006,OBOND-CALL,CPTY-01,2025-01-15,SHORT,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+07,0.0424,2025-01-15,2055-01-15,USD,,,,1,CALL,BERMUDAN,0.0132,,,,,,,,4.49798e+07,4.99058e+07,,0.0488112,4.49811e+07,11777.8,,45081.4,9.01628,901.628,159.114,-2.99519e+06,,4.92604e+06,,,,,
OBOND-CALL-0007,OBOND-CALL,CPTY-02,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",2e+07,0.04,2025-01-15,2035-01-15,USD,,,,1,CALL,AMERICAN,0.0109,,,,,,,,1.88945e+07,1.93864e+07,,0.0469997,1.88955e+07,4444.44,,-12560.2,-6.28012,-628.012,-187.332,-487262,,491948,,,,,
OBOND-CALL-0008,OBOND-CALL,CPTY-01,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",2e+07,0.0402,2025-01-15,2035-01-15,USD,,,,1,CALL,BERMUDAN,0.0119,,,,,,,,1.88712e+07,1.94183e+07,,0.0473596,1.88722e+07,4466.67,,-12467.9,-6.23396,-623.396,51.0781,-487216,,547153,,,,,
OBOND-CALL-0009,OBOND-CALL,CPTY-04,2025-01-15,SHORT,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",2e+07,0.04,2025-01-15,2055-01-15,USD,,,,1,CALL,BERMUDAN,0.0105,,,,,,,,1.77861e+07,1.91581e+07,,0.0469143,1.77868e+07,4444.44,,16718.6,8.3593,835.93,154.327,-1.31067e+06,,1.37201e+06,,,,,
OBOND-CALL-0010,OBOND-CALL,CPTY-03,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+07,0.0475,2025-01-15,2035-01-15,USD,,,,1,CALL,BERMUDAN,0.0108,,,,,,,,4.95053e+07,5.14571e+07,,0.0487735,4.95065e+07,13194.4,,-29198.2,-5.83965,-583.965,41.1622,-1.17299e+06,,1.95176e+06,,,,,
OBOND-CALL-0011,OBOND-CALL,CPTY-03,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",2e+07,0.0455,2025-01-15,2032-01-15,USD,,,,1,CALL,BERMUDAN,0.0081,,,,,,,,1.95802e+07,2.00847e+07,,0.049079,1.95808e+07,5055.56,,-6981.48,-3.49074,-349.074,-122.985,-434962,,504505,,,,,
OBOND-CALL-0012,OBOND-CALL,CPTY-08,2025-01-15,SHORT,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",5e+07,0.0432,2025-01-15,2032-01-15,USD,,,,1,CALL,BERMUDAN,0.01,,,,,,,,4.84736e+07,4.95308e+07,,0.0483919,4.84757e+07,12000,,21531.4,4.30629,430.629,-523.165,-957881,,1.05713e+06,,,,,
OBOND-CALL-0013,OBOND-CALL,CPTY-07,2025-01-15,SHORT,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",1e+07,0.04,2025-01-15,2040-01-15,USD,,,,1,CALL,AMERICAN,0.0111,,,,,,,,9.14946e+06,9.63593e+06,,0.0480322,9.1499e+06,2222.22,,7061.96,7.06196,706.196,83.3236,-483776,,486470,,,,,
OBOND-CALL-0014,OBOND-CALL,CPTY-09,2025-01-15,LONG,2026-04-09T13:46:57.517303+00:00,CBOND,CALLABLE,0,2,"BOND,OPTION",2e+07,0.0459,2025-01-15,2040-01-15,USD,,,,1,CALL,BERMUDAN,0.009,,,,,,,,1.93056e+07,2.0556e+07,,0.0492138,1.93061e+07,5100,,-11181.9,-5.59093,-559.093,51.19,-859035,,1.25034e+06,,,,,
